key,en
INDIVIDUAL_LIST_TABLE_COLNAME_STATUS_INACTIVE,Inactive
INDIVIDUAL_LIST_TABLE_COLNAME_STATUS_NOTCONCERNED,Not concerned
INDIVIDUAL_LIST_TABLE_COLNAME_SUFFIX_NAME,Suffix Name
INDIVIDUAL_LIST_TABLE_COLNAME_TYPE,Type
INDIVIDUAL_LIST_TABLE_COLNAME_TYPE_FISHER,Fisher
INDIVIDUAL_LIST_TABLE_COLNAME_TYPE_NONFISHER,Non fisher
INDIVIDUAL_LIST_TITLE,List of individuals
INDIVIDUAL_NAME,Name
INDIVIDUAL_OVERVIEW_INDICATORS_BOX_LABEL,Indicators
INDIVIDUAL_OVERVIEW_MAP_BOX_LABEL,Map
INDIVIDUAL_OVERVIEW_PYRAMID_BOX_LABEL,Distribution by age
INDIVIDUAL_OVERVIEW_SUBTITLE,Visualize the overview of individuals
INDIVIDUAL_OVERVIEW_SUNBURST_BOX_LABEL,Distribution by category
INDIVIDUAL_OVERVIEW_TABLE_BOX_LABEL,Number of individuals
INDIVIDUAL_OVERVIEW_TITLE,Overview of individuals
INDIVIDUAL_OVERVIEW_VERTICALTABPANEL_GRAPHS,Profile
INDIVIDUAL_OVERVIEW_VERTICALTABPANEL_TABLE,Statistics
INDIVIDUAL_PROPERTY_EDUCATION,Education
INDIVIDUAL_PROPERTY_GENDER,Gender
INDIVIDUAL_PROPERTY_LICENSE,License
INDIVIDUAL_PROPERTY_ROLE,Role
INDIVIDUAL_PROPERTY_SITE,Site
INDIVIDUAL_PROPERTY_STATUS,Status
INDIVIDUAL_PROPERTY_TYPE,Type
INDIVIDUAL_PROPERTY_WORKTIME,Worktime
INDIVIDUAL_QA_STATUS_TOCHECK,Missing
INDIVIDUAL_QA_STATUS_VALID,Available
INDIVIDUAL_QA_SUBTITLE,Access information on individuals
INDIVIDUAL_QA_TABLE_COLNAME_1,STATUS
INDIVIDUAL_QA_TABLE_COLNAME_2,COUNT
INDIVIDUAL_QA_TITLE,Individuals Quality Assessment
INDIVIDUAL_QA_TITLE_DOB,Quality assessment on individual date of birth
INDIVIDUAL_ROLE_TABLE_COLNAME_1,Role
INDIVIDUAL_ROLE_TABLE_COLNAME_2,Status
INDIVIDUAL_ROLES_TITLE,Individuals' roles in fishery
INDIVIDUAL_TYPE_FISHER,Fisher
INDIVIDUAL_TYPE_NONFISHER,Non fisher
INDIVIDUAL_UNKNOWN_VALUE,Unknown
INDIVIDUALS,Individuals
INFOBOX_LICENSE_STATUS,license status
INFOBOX_MEAN_DAYS_AT_SEA_FISHING_TRIPS,Mean days at sea / fishing trip
INFOBOX_MEAN_FISHING_TRIPS_YEAR,Mean fishing trips/year
INFOBOX_NUMBER_OF_FISHING_GEARS,Fishing gears
INFOBOX_NUMBER_OF_LANDING_SITES,Landing sites
INFOBOX_NUMBER_OF_LICENSES,Licenses
INFOBOX_NUMBER_OF_OWNERS,Owners
INFOBOX_NUMBER_OF_SPECIES_CAUGHT,Species caught
INFOBOX_OVERVIEW_LOGBOOK_REPORTING_PERCENTAGE,Logbook reporting percentage
INFOBOX_OVERVIEW_TOTAL_PARTICIPATING_VESSELS,Total participating vessels
INFOBOX_OVERVIEW_TOTAL_QUANTITY,Total quantity
INFOBOX_TITLE_FISHER,Fisher
INFOBOX_TITLE_FISHER_ACTIVE,Active Fisher
INFOBOX_TITLE_FISHING_TRIPS,Fishing trips
INFOBOX_TITLE_LANDING_SITES,Landing sites
INFOBOX_TITLE_LICENSE,License
INFOBOX_TITLE_LICENSE_ACTIVE,Active License
INFOBOX_TITLE_NON_FISHER,Non Fisher
INFOBOX_TITLE_NUMBER_OF_TRIPS,Number of trips
INFOBOX_TITLE_NUMBER_OF_VESSELS,Number of vessels
INFOBOX_TITLE_TOTAL,Individuals Total
INFOBOX_TITLE_VESSEL_ACTIVE,Active Vessels
INFOBOX_TITLE_VESSEL_CAPTAINS,Vessel captains
INFOBOX_TITLE_VESSEL_OWNERS,Vessel owners
INFOBOX_TITLE_VESSEL_TOTAL,Total number of vessels
INFOBOX_TITLE_VESSELS,Vessels
INFOBOX_TITLE_YEARS_ANALYZED,Years analyzed
INFOBOX_VESSEL_OPERATIONAL_STATUS,Vessel Operational Status
LABEL_BOX_INDICATOR,Select an indicator
LABEL_BOX_PLOT,Indicator's status
LABEL_CONTENT,Diversity
LABEL_CONTENT_SUBTITLE,species
LABEL_FISHING_GEAR,Fishing gear
LABEL_FISHING_ZONE,Fishing zone
LABEL_GLOBAL_CPUE,Global CPUE
LABEL_GLOBAL_CPUE_SUBTITLE_KG,kg/day
LABEL_GLOBAL_CPUE_SUBTITLE_LB,lb/day
LABEL_GLOBAL_CPUE_SUBTITLE_OTHER,/day
LABEL_LANDING_SITE,Landing site
LABEL_QUANTITY_CAUGHT,Quantity caught
LABEL_QUANTITY_CAUGHT_SUBTITLE,tons
LABEL_SELECT_INDICATOR,Select this indicator
LABEL_SHOW_HIERARCHY,Show hierarchy
LABEL_SHOW_NOTICE,Show notice
